de, en
backen, to bake
bekommen, to like / to receive
bestellen, to order
bezahlen, to pay
brauchen, to need
erkennen, to recognise
erzÌ_hlen, to tell
essen, to eat
glauben, to believe / to think
kaufen, to buy
kennen, to know
kochen, to cook
mÌ¦gen, to like
nehmen, to take
schmecken, to taste
trinken, to drink
Ì_ben, to practise
s Abendessen -, dinner
r Alkohol, alcohol
e Anzeige -n, advertisement
r Apfel -å¬, apple
s Bier, beer
e Bohne -n, bean
s Brot -e, bread
s BrÌ¦tchen -, bread roll
e Butter, butter
e Dose -n, tin / can
s Ei -er, egg
r Einkaufszettel, shopping list
s Eis, ice cream
e Erdbeere -n, strawberry
r Euro, the euro
s Export, export beer
r Fisch -e, fish
e Flasche -n, bottle
s Fleisch, meat
e Frage -n, question
e Frucht -å¬e, fruit
s FrÌ_hstÌ_ck, breakfast
e Gabel, fork
r Gastof -å¬e," pub / restaurant	"
s GemÌ_se, vegetable
s Gericht -e, dish / meal
s GesprÌ_ch -e, conversation
s GetrÌ_nk -e, drink
s GewÌ_rz -e, spice
s Glas -å¬er, glass / jar
s Gramm, gram
s HÌ_hnchen -, chicken
r Kaffee, coffee
e Kartoffel -n, potato
r KÌ_se, cheese
s Kilo -s, kilogram
e Kiste -n, box / crate
s Kotelett -s, chop
r Kuchen, cake
e Limonade -n, lemonade
r Liter, litre
r LÌ¦ffel -, spoon
e Marmelade -n, jam
s Mehl, flour
s Messer -, knife
e Milch, milk
s Mineralwasser, mineral water
r Nachtisch -e, dessert
r Obstkuchen -, fruit pie
s Ì¦l -e, oil
e Packung -en, bag / packet
r Pfeffer -, pepper
s Pfund, pound
r Preis -e, price
r Reis, rice
r Rotwein -e, red whine
r Saft -å¬e, juice
e Sahne, cream
r Salat, salad
r Schinken, ham
e Schocolade -n, chocolate
e Sosse -n, sauce
e Speisekarte -n, menu
s SpÌ_lmittel -, dish soap
s Steak -s, steak
e Suppe -n, soup
e Tasse -n, cup
r Tee -s, tea
r Teller -, plate / platter
e Tomate -n, tomato
e Vorspeise -n, appetizer
e WÌ_sche, laundry
r Weisswein -e, white whine
e Wurst -å¬e, sausage
r Zettel -, piece of paper
r Zucker, sugar
e Zwiebel -n, onion
billig, cheap
bitter, bitter
dunkel, dark
eng, narrow
fett, fatty
frisch, fresh
gross, big / tall
grÌ_n, green
hart, hard
hell, light
hoch, tall
kalt, cold
mild, mild
nah, near
normal, normal
fantastisch, fantastic
rot, red
salzig, salty
satt, full
sauer, sour
scharf, hot / spicy
schlank, slim
stark, strong
sÌ_ss, sweet
trocken, dry
typisch, typical
warm, warm
wichtig, important
abends, in the evening
am liebsten, (to like) best
besonders, especially
danach, afterwards
dann, then
fast, almost
ganz, all
genug, enough
gern, to like (doing something)
getrennt, separate
lieber, (to like) better
manchmal, sometimes
mittags, at lunchtime
morgens, in the morning
nachmittags, in the afternoon
natÌ_rlich, naturally
nur, only
oben, at the top
oft, often
sofort, at once
Ì_berall, everywhere
unten, at the bottom
verschieden, different
zuerst, first
zusammen, together
